"IPI Bug Information",,,,,,,,,,,,"IBM Bug Information",,,
"Bug Id","Headline","Status","State","Protocol","Priority","ZebOS Version","Submit Date","Opened Date","Closed Date","Submitter","Comments","Bug Id","Protocol","Status","Comments"
"FDB","Filed by our team",,,,,,,,,,,,,,
"ZebOS00080989","[FDB] [SNMP] Can't set ""dot1qStaticUnicastEntry""","Defect Fixed","Open","LAYER 2","Critical",07年10月1日,"Jun 8, 2013 7:13:51 PM","Jun 21, 2013 6:59:51 AM",,"Jack (liyuanwx@cn.ibm.com)",,"XB182197","L2_FDB","Open",
"ZebOS00080962","[FDB] [SNMP] The return value of ""dot1qTpGroupEntry"" is not correct",,"Submitted","LAYER 2","High",07年10月1日,"Jun 8, 2013 2:19:00 PM",,,"Jack (liyuanwx@cn.ibm.com)",,"XB182181","L2_FDB","Open",
"ZebOS00080961","[FDB] [SNMP] Wrong port number returned when get dot1qTpFdbEntry node","As Designed","Open","LAYER 2","Critical",07年10月1日,"Jun 8, 2013 1:59:00 PM","Jun 19, 2013 3:18:52 PM",,"Jack (liyuanwx@cn.ibm.com)",,"XB182179","L2_FDB","Open",
"ZebOS00080958","[FDB] [SNMP] Error messages prompt on console when get Q-Bridge nodes","Defect Fixed","Open","LAYER 2","Critical",07年10月1日,"Jun 8, 2013 1:22:57 PM","Jun 21, 2013 1:02:31 AM",,"Jack (liyuanwx@cn.ibm.com)",,"XB182169","L2_FDB","Open",
"ZebOS00080830","[FDB] Wrong error message prompts when delete non-exist static MAC",,"Submitted","LAYER 2","Medium",07年10月1日,"Jun 7, 2013 4:32:45 PM",,,"Jack (liyuanwx@cn.ibm.com)",,"XB181058","L2_FDB","Open",
"ZebOS00080384","[FDB] The error message for ""interface port-channel x"" option is not correct",,"Submitted","LAYER 2","Medium",07年10月1日,"May 31, 2013 8:51:48 AM",,,"Jack (liyuanwx@cn.ibm.com)",,"XB173229","L2_FDB","Open",
"ZebOS00079789","[FDB] [Blocker] Assertion happens when flush dynamic MAC in non-existed VLAN","Defect Fixed","Closed","LAYER 2","Critical",07年10月1日,"May 20, 2013 5:22:03 PM","Jun 5, 2013 4:57:12 AM","Jun 21, 2013 9:45:54 AM","Jack (liyuanwx@cn.ibm.com)",,"XB171857","L2_FDB","Closed",
"ZebOS00079777","[FDB] With static FDB configuration, error message appears in several commands","Not reproducible","Open","LAYER 2","High",07年10月1日,"May 20, 2013 4:01:45 PM","Jun 14, 2013 12:45:19 PM",,"Jack (liyuanwx@cn.ibm.com)",,"XB171851","L2_FDB","Open",
"ZebOS00079776","[FDB] Error message appears when dump FDB after boot up with default config","Not reproducible","Open","LAYER 2","High",07年10月1日,"May 20, 2013 3:46:40 PM","Jun 14, 2013 12:44:13 PM",,"Jack (liyuanwx@cn.ibm.com)",,"XB171846","L2_FDB","Open",
